artist,genre,country,url
THE GODFORGOTTENS,Avant-Garde Jazz,Multi-National,http://www.jazzmusicarchives.com/artist/the-godforgottens
TINY GRIMES,Bop / Jump Blues / Blues,United States,http://www.jazzmusicarchives.com/artist/tiny-grimes
GRANT GREEN,Hard Bop / Soul Jazz / Fusion / Pop/Art Song/Folk / Latin Jazz / Jazz Related Soundtracks,United States,http://www.jazzmusicarchives.com/artist/grant-green
ROBERT GENCO,Jazz Related Rock,Italy,http://www.jazzmusicarchives.com/artist/robert-genco
THE GOOFUS FIVE,Classic (1920s) Jazz,United States,http://www.jazzmusicarchives.com/artist/the-goofus-five
JEFF GOLUB,RnB / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/jeff-golub
GEPH,Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/geph
CHRIS GARRICK,Post-Fusion Contemporary / Jazz Related Soundtracks / Fusion / Swing / Pop/Art Song/Folk,United Kingdom,http://www.jazzmusicarchives.com/artist/chris-garrick
URI GURVICH,World Fusion,Israel,http://www.jazzmusicarchives.com/artist/uri-gurvich
ANNE-MARIE GIØRTZ,Pop/Art Song/Folk / World Fusion / Vocal Jazz,Sweden,http://www.jazzmusicarchives.com/artist/anne-marie-giørtz
SUNNA GUNNLAUGS,Post Bop / Post-Fusion Contemporary / Pop/Art Song/Folk / Jazz Related Soundtracks,Iceland,http://www.jazzmusicarchives.com/artist/sunna-gunnlaugs
HERWIG GRADISCHNIG,Hard Bop / Post Bop,Austria,http://www.jazzmusicarchives.com/artist/herwig-gradischnig
GROON,Jazz Related Rock,United Kingdom,http://www.jazzmusicarchives.com/artist/groon
DEVIN GRAY,Avant-Garde Jazz / Jazz Related Improv/Composition,United States,http://www.jazzmusicarchives.com/artist/devin-gray
JOE GALLIVAN,Avant-Garde Jazz / Vocal Jazz / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/joe-gallivan
JURAJ GRIGLÁK,Fusion,Slovakia,http://www.jazzmusicarchives.com/artist/juraj-griglak
JULIAN GERSTIN,World Fusion,United States,http://www.jazzmusicarchives.com/artist/julian-gerstin
DAVID GORDON,Post Bop / Third Stream / Latin Jazz / Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/david-gordon
EL GRAN COMBO DE PUERTO RICO,Latin Jazz,Puerto Rico,http://www.jazzmusicarchives.com/artist/el-gran-combo-de-puerto-rico
HÅKON / GRAFITTI GRAF,Fusion,Norway,http://www.jazzmusicarchives.com/artist/hakon-graf-grafitti
MISHA PREHISTORIC JAZZ QUINTET GRAY'S,Hard Bop / Post Bop,United Kingdom,http://www.jazzmusicarchives.com/artist/misha-grays-prehistoric-jazz-quintet
BURTON GREENE,Avant-Garde Jazz / World Fusion,United States,http://www.jazzmusicarchives.com/artist/burton-greene
TRILOK GURTU,World Fusion / Jazz Related Electronica/Hip-Hop,India,http://www.jazzmusicarchives.com/artist/trilok-gurtu(india)
TERRY GIBBS,Bop / Big Band / Hard Bop / Latin Jazz / Cool Jazz,United States,http://www.jazzmusicarchives.com/artist/terry-gibbs
GEORG GRAEWE (GRÄWE),Avant-Garde Jazz / Third Stream / Jazz Related Improv/Composition / 21st Century Modern,Germany,http://www.jazzmusicarchives.com/artist/georg-graewe-grawe
KIERON GARRETT,Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/kieron-garrett
TYREE GLENN,Swing,United States,http://www.jazzmusicarchives.com/artist/tyree-glenn
GRIT ENSEMBLE,Post-Fusion Contemporary,Poland,http://www.jazzmusicarchives.com/artist/grit-ensemble
STÉPHANE GALLAND,World Fusion,Belgium,http://www.jazzmusicarchives.com/artist/stephane-galland
GRUGRÜ,Jazz Related Rock,France,http://www.jazzmusicarchives.com/artist/grugru
GOAT'S NOTES,Avant-Garde Jazz / Eclectic Fusion,Russia,http://www.jazzmusicarchives.com/artist/goats-notes
HAL GALPER,Post Bop / Hard Bop / Fusion,United States,http://www.jazzmusicarchives.com/artist/hal-galper
GEORGE GRUNTZ,Progressive Big Band / Post Bop / Third Stream / Avant-Garde Jazz / World Fusion / Post-Fusion Contemporary / Jazz Related Soundtracks / Fusion,Switzerland,http://www.jazzmusicarchives.com/artist/george-gruntz
JEF GILSON,World Fusion / Progressive Big Band / Hard Bop / Big Band / Avant-Garde Jazz / Post Bop / Third Stream / Jazz Related Improv/Composition / Bop,France,http://www.jazzmusicarchives.com/artist/jef-gilson
KENNY G,Pop/Art Song/Folk / World Fusion,United States,http://www.jazzmusicarchives.com/artist/kenny-g
ERIC GALES,Jazz Related Rock / RnB / Blues,United States,http://www.jazzmusicarchives.com/artist/eric-gales
HILARY GARDNER,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/hilary-gardner
GIL GOLDSTEIN,Post Bop / World Fusion / Post-Fusion Contemporary / Latin Jazz,United States,http://www.jazzmusicarchives.com/artist/gil-goldstein
PATRICK GREENE,Hard Bop,United States,http://www.jazzmusicarchives.com/artist/patrick-greene
GENTIANE MG,21st Century Modern,Canada,http://www.jazzmusicarchives.com/artist/gentiane-mg
ROBERTO GATTO,Post Bop / Fusion / Hard Bop,Italy,http://www.jazzmusicarchives.com/artist/roberto-gatto
PHIL GRENADIER,Post Bop,United States,http://www.jazzmusicarchives.com/artist/phil-grenadier
DANNY GREEN,Latin Jazz / Post-Fusion Contemporary,United States,http://www.jazzmusicarchives.com/artist/danny-green
GRANT GEISSMAN,Pop/Art Song/Folk / Soul Jazz / RnB / Latin Rock/Soul / Hard Bop,United States,http://www.jazzmusicarchives.com/artist/grant-geissman(not-set)
FRANK / THEMEN GIASULLO,Hard Bop,Multi-National,http://www.jazzmusicarchives.com/artist/frank-giasullo-art-themen-quartet
GEORGE GEE,Big Band,United States,http://www.jazzmusicarchives.com/artist/george-gee
MIGUEL GORODI,21st Century Modern,Spain,http://www.jazzmusicarchives.com/artist/miguel-gorodi
CORRADO GUARINO,21st Century Modern / Progressive Big Band / Pop/Art Song/Folk,Italy,http://www.jazzmusicarchives.com/artist/corrado-guarino
THE GONDWANA ORCHESTRA,World Fusion / Vocal Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/the-gondwana-orchestra
MARIA GRAND,21st Century Modern,Switzerland,http://www.jazzmusicarchives.com/artist/maria-grand
TONY GUERRERO,Pop/Art Song/Folk / Swing / Soul Jazz / RnB / Latin Jazz / Fusion,United States,http://www.jazzmusicarchives.com/artist/tony-guerrero
GLASGOW IMPROVISERS ORCHESTRA,Jazz Related Improv/Composition,United Kingdom,http://www.jazzmusicarchives.com/artist/glasgow-improvisers-orchestra
BRIAN GRODER,Avant-Garde Jazz / Third Stream / 21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/brian-groder
JOHN PETER BLEGVAD AND LISA HERMAN GREAVES,Jazz Related Rock,Multi-National,http://www.jazzmusicarchives.com/artist/john-greaves-peter-blegvad-and-lisa-herman
GREEN ROOM,Jazz Related Improv/Composition,United Kingdom,http://www.jazzmusicarchives.com/artist/green-room
PAUL GIALLORENZO,Post Bop / 21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/paul-giallorenzo
GRIMACE FEDERATION,Nu Jazz,United States,http://www.jazzmusicarchives.com/artist/grimace-federation
JIM GALLOWAY,Swing / Big Band,United Kingdom,http://www.jazzmusicarchives.com/artist/jim-galloway
NUBYA GARCIA,Fusion / Jazz Related Electronica/Hip-Hop / Nu Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/nubya-garcia
LILLY B. GARDNER,Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/lilly-b-gardner
GILFEMA,World Fusion / African Fusion,Multi-National,http://www.jazzmusicarchives.com/artist/gilfema
BENNY GOLSON,Hard Bop / RnB / Third Stream / Jazz Related Soundtracks / Funk Jazz / Exotica,United States,http://www.jazzmusicarchives.com/artist/benny-golson
GREGORY GENERET,Vocal Jazz,United States,http://www.jazzmusicarchives.com/artist/gregory-generet
BOB GLUCK,Jazz Related Improv/Composition / Avant-Garde Jazz / 21st Century Modern,United States,http://www.jazzmusicarchives.com/artist/bob-gluck
ROBERT GLASPER,RnB / Post-Fusion Contemporary / Jazz Related Soundtracks / Jazz Related Electronica/Hip-Hop / Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/robert-glasper
MARKUS GOTTSCHLICH,Post-Fusion Contemporary / Post Bop,Austria,http://www.jazzmusicarchives.com/artist/markus-gottschlich
CALUM GOURLAY,Post Bop / 21st Century Modern,United Kingdom,http://www.jazzmusicarchives.com/artist/calum-gourlay
THE GATURS,RnB,United States,http://www.jazzmusicarchives.com/artist/the-gaturs
LUKE GILLESPIE,Post Bop,Japan,http://www.jazzmusicarchives.com/artist/luke-gillespie
LES (DEROME / LUSSIER) GRANULES,Jazz Related Improv/Composition,Canada,http://www.jazzmusicarchives.com/artist/les-granules-derome-lussier
GUNGA GALUNGA,Nu Jazz,United States,http://www.jazzmusicarchives.com/artist/gunga-galunga
FREDDIE GAVITA,Post Bop,United Kingdom,http://www.jazzmusicarchives.com/artist/freddie-gavita
LUIS GASCA,Latin Jazz / Afro-Cuban Jazz,United States,http://www.jazzmusicarchives.com/artist/luis-gasca
STACI GRIESBACH,Pop/Art Song/Folk,United States,http://www.jazzmusicarchives.com/artist/staci-griesbach
VICTOR GOINES,Hard Bop / Post Bop,United States,http://www.jazzmusicarchives.com/artist/victor-goines
GIGER LENZ MARRON,Fusion,Germany,http://www.jazzmusicarchives.com/artist/giger-lenz-marron
MIKE GARSON,Post-Fusion Contemporary / Post Bop / Jazz Related Soundtracks / Jazz Related Rock,United States,http://www.jazzmusicarchives.com/artist/mike-garson
TOMMY GUMINA,Exotica,United States,http://www.jazzmusicarchives.com/artist/tommy-gumina
BARRY GREEN,Post Bop / 21st Century Modern,United Kingdom,http://www.jazzmusicarchives.com/artist/barry-green
PATRICK GLEESON,Exotica / Jazz Related Soundtracks / Nu Jazz / Jazz Related Improv/Composition,United States,http://www.jazzmusicarchives.com/artist/patrick-gleeson
DON GRUSIN,Pop/Art Song/Folk / Post Bop / Post-Fusion Contemporary,United States,http://www.jazzmusicarchives.com/artist/don-grusin
ROSIE GAINES,RnB,United States,http://www.jazzmusicarchives.com/artist/rosie-gaines
BARRY GALBRAITH,Bop,United States,http://www.jazzmusicarchives.com/artist/barry-galbraith
JEAN-PHILIPPE GOUDE,Third Stream / Jazz Related Rock / Fusion / Pop/Art Song/Folk / Jazz Related Soundtracks / Exotica,France,http://www.jazzmusicarchives.com/artist/jean-philippe-goude
MEDDY GERVILLE,World Fusion,Reunion,http://www.jazzmusicarchives.com/artist/meddy-gerville
ADYLSON GODOY,Latin Jazz,Brazil,http://www.jazzmusicarchives.com/artist/adylson-godoy
GET THE BLESSING,Eclectic Fusion / Nu Jazz,United Kingdom,http://www.jazzmusicarchives.com/artist/get-the-blessing
GREAT AMERICAN MUSIC ENSEMBLE,Big Band,United States,http://www.jazzmusicarchives.com/artist/great-american-music-ensemble
DENIS GÄBEL,Post Bop / Hard Bop / Fusion,Germany,http://www.jazzmusicarchives.com/artist/denis-gabel
ALAN GOWEN,Fusion / Eclectic Fusion,United Kingdom,http://www.jazzmusicarchives.com/artist/alan-gowen
AL GREEN,RnB / Jazz Related Gospel,United States,http://www.jazzmusicarchives.com/artist/al-green
GENE GIFFORD,Classic (1920s) Jazz,United States,http://www.jazzmusicarchives.com/artist/gene-gifford
