name,country,period
Lonnie Donegan,,
Gaetano Donizetti,ITA,Romantic
Johannes Donjon,,
Don Meyer / Elise Bretton / Sherman Edwards,,
John Donne,,Baroque
Ferdinand Donninger,,
Paul Dooley,,
Emily Doolittle,CAN,Contemporary
Quenten Doolittle,CAN,
Josef Doppelbauer,,
Cornelis Dopper,,Modern
Franz Doppler,AUT,Romantic
Karl Doppler,HUN,
William Doppmann,USA,Contemporary
Antal Dorati,HUN,Modern
Daniel Dorff,,Modern
Joseph Dorfman,RUS,Contemporary
Pierre Dørge,DNK,Modern
Doris Fisher / Allan Roberts,,Modern
Avner Dorman,ISR,
Babette Dorn,,
Louis-Antoine Dornel,FRA,Baroque
James Dorsa,,
Alan Dorsey,,
Tommy Dorsey,USA,Modern
Arne Oddvar Dørumsgaard,,Modern
Hermann Dostal,,
Nico Dostal,,Modern
F. Doubensky,,
Clément Doucet,,
Celius Dougherty,,
Dan Dougherty,,Modern
Bill Douglas,,Contemporary
Roy Douglas,,Contemporary
David Douglass,,Contemporary
Winfred Douglas,,
Jean-Baptiste Doulcet,FRA,
Dominic Dousa,,
Jonathan Dove,,Contemporary
John Dowland,ENG,Renaissance
Robert Dowland,,Baroque
David Downes,,
Kenneth Downie,,
D.L. Downing,,
Joseph Downing,,
Ernest Dowson,,
Albert Doyen,,
Arthur Conan Doyle,GBR,
Patrick Doyle,,Contemporary
Andrey Doynikov,,
V. Drabovich,,
Felix Draeseke,DEU,Romantic
Dimitris Dragatakis,GRC,Modern
Giovanni Battista Draghi,ITA/ENG,Baroque
Domenico Dragonetti,ITA,Romantic
Ernesto Drangosch,,
Marina Dranishnikova,,
William Henry Draper,,
Laszlo Draskoczy,,
Deborah Drattell,USA,Contemporary
Maurice Draughn,USA,
Michael Drayton,,
Paul Drayton,,
Frantisek Drdla,,Late- / Post-Romantic
Gustav Dreier,,Modern
E. Dreizen,,
Adam Drese,,Baroque
Paul Dresher,,Contemporary
Erwin Dressel,,Modern
Anton Dressler,RUS,Contemporary
Arnold Dreyblatt,,Contemporary
Johann Melchior Dreyer,DEU,Classical
Alexander Dreyschock,CZE,Romantic
Johannes Driessler,,
Riccardo Drigo,,Romantic
Madeleine Dring,ENG,Modern
Max Drischner,,Modern
Paquito D'Rivera,CUB,Contemporary
Eduard Drízga,,
Annette von Droste-Hulshoff,,
Louis Drouet,FRA,Romantic
Piotr Drozdzewski,,Contemporary
Eugene Drucker,,Contemporary
Jacob Druckman,USA,Modern
Dean Drummond,,Contemporary
Carina Drury,IRL,Contemporary
Georg Druschetzky,HUN/AUT,Classical
Fedor Druzhinin,,Romantic
Chretien D'Troyes,,
John Duarte,ENG,Modern
Leonora Duarte,,
Mariusz Dubaj,POL,
Bertrand Dubedout,,
Andreas Duben,,Baroque
Gustav, the elder Duben,,
Martin Düben,,
Arcady Dubensky,,Modern
Fjodor Dubensky,,
David Dubery,GBR,
Irina Dubkova,RUS,
Charles E. Duble,,Modern
Luke Dubois,,
Pierre Max Dubois,,Modern
Théodore Dubois,FRA,Romantic
Rihards Dubra,,
László Dubrovay,,Contemporary
Richard Dubugnon,CHE/FRA,Contemporary
Du Buisson,FRA/HOL,Baroque
Jacques du Buisson,,
Dubuisson (Jean Lacquemant),FRA,
Alexander Ivanovich Dubuque (Diubiuk),RUS,Romantic
Fedor Dubyansky,,
Pauline Duchambge,FRA,Classical
William E. Duckworth,USA,Contemporary
Bruno Ducol,,
Jorg Duda,,
Norton Dudeque,,
Dudley Phillips / Huw Warren / Martin France,,
Dudley Phillips / Mark Lockheart,,
Helen Tobias Duesberg,USA,
Cornelius Dufallo,,
Fang Du,,
Francois Dufault,,
François Dufaut,FRA,Baroque
Guillaume Dufay,FRA,Renaissance
Sophie Dufeutrelle,FRA,
Arthur Duff,IRL,
Hugues Dufourt,,Contemporary
Alfred Dufresne,FRA,
John Duggan,,
Mark Duggan,,Contemporary
Paul Dukas,FRA,Impressionist
Barnabás Dukay,,Contemporary
Vernon Duke (AKA Vladimir Dukelsky),USA,Modern
Duke Ellington / Billy Strayhorn,USA,
Duke Ellington / Bob Russell,,
Duke Ellington / Carl Sigman,,
Duke Ellington / Johnny Hodges / Harry James,,
Duke Ellington / Juan Tizol,,Modern
Duke Ellington / Milt Gabler,,
Duke Ellington / Raymond Sol,,
John Duke,,
John Woods Duke,,Modern
Andrea Dulbecco,,Contemporary
Francois Dulot,,
Joel Dulyea,,
Pierre Dumage,FRA,Baroque
Du Mingxin,CHN,Contemporary
Arnaud Dumond,,
Charles Dumont,FRA,Modern
Henry Dumont,FLM,Baroque
Judy Dunaway,,Contemporary
Isaak Iosifovich Dunayevsky,,Modern
Chester Duncan,,
Christopher Duncan,,
Trevor Duncan,ENG,Modern
Sophie Dunér,,
Thomas Dunhill,,Modern
Egidio Romualdo Duni,ITA,
Emile Dunkler,,
David Dunn,,Contemporary
Matthew Dunne,,
Leslie B. Dunner,,Contemporary
Richard Dünser,,Modern
John Dunstable,ENG,Renaissance
Henri Duparc,FRA,Romantic
Jacques Duphly,FRA,Baroque
Marc-Olivier Dupin,,Contemporary
Mathias Duplessy,,
Gabriel Edouard Xavier Dupont,,Modern
Pierre Dupont,,
Jean-Louis Duport,FRA,Classical
Eneas Dupré,,
Marcel Dupré,FRA,Modern
Jean Baptiste Edouard Louis Camille Du Puy,CHE/SWE,
Jacques Durand,,
Joël-François Durand,FRA,Contemporary
Marie-Auguste Durand,FRA,Romantic
Juan Duran,ESP,
Jacobo Durán-Loriga,ESP,Modern
Francesco Durante,ITA,Baroque
Ottavio Durante,ITA,
Paul Charles Durant,,
Louis Durey,FRA,Modern
Thomas D'Urfey,,Baroque
Louis Durham,,
Péter Durkó,,
Zsolt Durkó,,Contemporary
Sebastián Durón,ESP,Baroque
Stephen Duro,ENG,
Maurice Duruflé,FRA,Modern
Pascal Dusapin,FRA,Contemporary
Samuel Dushkin,POL/USA,Modern
Sergey Dusionok,,
Robert Dussaut,,
Frantisek Xaver Dussek,CZE,Classical
Jan Ladislav Dussek,FRA,Classical
Sophia Dussek,,
Henri Dutilleux,FRA,Modern
Frederic Dutton,,
Katelyn Duty,,
Frédéric Nicolas Duvernoy,FRA,Romantic
Max Giteck Duykers,,
Balys Dvarionas,,Modern
Antonín (Leopold) Dvořák,CZE,Late- / Post-Romantic
Charles Dvorak,,Baroque
Ivan Dvoretsky,RUS,
Aaron P. Dworkin,USA,
Richard Dwyer,,
Roland Dyens,FRA,Contemporary
Sir John Dykes Bower,,Modern
John Bacchus Dykes,ENG,Romantic
Brian Dykstra,,Contemporary
Bob Dylan,USA,Contemporary
George Dyson,ENG,Modern
Nikolay Dyur,,
Džemal Agušev / Isin Agušev,,
Andris Dzenitis,LVA,
German Dzhaparidze,RUS,Contemporary
Gherman Dzhaparidze,,
Agnes Dzodtsoeva-Bashir,GEO,
Sahak Dzoraporetsi,ARM,
David Dzubay,,Contemporary
Michael Eagan,,Contemporary
David Eagle,,
Geoffrey Eales,,
David Earl,ZAF,
Giles Earle,,
John David Earnest,,
Brian Easdale,,Modern
Erich Eastman,USA,Contemporary
Julius Eastman,,Contemporary
Michael East,ENG,Baroque
Michael Easton,,Contemporary
Tom Eastwood,,
Colin Eatock,CAN,Contemporary
Benno Ebann,,
David Ebel,,
Eduard Ebel,DEU,
Johann Georg Ebeling,DEU,Baroque
Horst Ebenhöh,AUT,Contemporary
Petr Eben,CZE,Modern
Caspar Ebenthal,,
Anton Eberl,AUT,Classical
Johann Ernst Eberlin,DEU,Baroque
Traugott Maximilian Eberwein,,
Gotthilf Friedrich Ebhardt,,
Wolfgang Ebner,,
Johannes Eccard,DEU,Renaissance
Henry Eccles,ENG,Baroque
John Eccles,ENG,Baroque
Solomon Eccles,ENG,Baroque
Adolfo Echeverría,,
José María Echeverría,,
Jason Eckardt,,Contemporary
Sixten Eckerberg,,Modern
Roger Eckersley,,Modern
Carl Anton Florian Eckert,DEU,Romantic
Hans-Michael Eckert,,Contemporary
Sophie-Carmen Eckhardt-Gramatté,,Modern
William Eckstein,,Modern
Eddie Patrick / Claude Reese / Jack Val,,
Eddie Pola / George Wyle,,
Gustl Edelmann,,
Jean-Frédéric Edelmann,FRA,Classical
Mark Eden,,
Michael Edward Edgerton,,
Jacques Edinthon,,
Noel Edison,,Contemporary
Hermann Edlerawer,,
Lars Edlund,SWE,Modern
Mikael Edlund,,Contemporary
John Edmunds,,Baroque
Garth Edmundson,,Modern
Edouard Lalo / Ch. Wehle,,Romantic
Carin Bartosch Edström,SWE,
Eduardo Gamboa / Yleana Bautista,,
Edward Evers / Gustaf Nordquist,,
Edward McDonald (Don) Keller,,
Austyn R. Edwards,,Modern
Keith Otis Edwards,,Contemporary
Michael Edwards,,Modern
Paul Edwards,,
Richard Edwards,ENG,
Ross Edwards,AUS,Contemporary
Timothy Dwight Edwards,,
Robert Een,,Contemporary
René Eespere,EST,Contemporary
Ruud van Eeten,,
Buhûrîzade Mustafa Itrî Efendi,TUR,
Kemani Tatyos Efendi,TUR,
Egbert van Alstyne / Wayne King / Victor Young,,
Jose Vicente Egea,,Contemporary
Lars Egebjer,SWE,
Klaus Egge,NOR,Modern
Arne Eggen,,
Ferdinand Egger,,
Joachim Nikolas Eggert,,
Moritz Eggert,,Contemporary
Arni Egilsson,,
Werner Egk,DEU,Modern
Philip Egner,,Romantic
Alexander Egorov,RUS,Modern
Fernando Egozcue,,
Eduardo Eguez,,Baroque
Adolf Ehrentraud,,
Abel Ehrlich,ISR,Modern
Marty Ehrlich,,
Erik Ehrling,,
Peter Ehwald,,
Julius Eichberg,USA,Romantic
Søren Nils Eichberg,,
Johann Paul Eichhorn,,
Ernst Eichner,DEU,Classical
Jean Th. Eichner,,
Konstantin Eiges,,
Eric John Eigner,USA,
Richard Eilenberg,,
Elise Einarsdottir,SWE,
Gottfried von Einem,AUT,Modern
Karólína Eiríksdóttir,ISL,Contemporary
Helmut Eisel,,
Mihály Eisemann,,
David Eisenstadt,,
Hanns Eisler,DEU,Modern
Bo Ejeby,,
Tanya Ekanayaka,,
Ekaterina Adolfovna Val'ter-Kühne,,
Jan Ekier,POL,Romantic
Victor Ekimovsky,,
Ejnar Eklof,,
Hans Eklund,,Contemporary
Mackar Ekmalian,ARM,Romantic
Lars Ekstrom,,Contemporary
Don Elam,,
Valery Elchik,,
Steve Elcock,,
Halim El-Dabh,,Modern
Magnus Eldénius,,Contemporary
Daniel Elder,,
Klaas Eldering,NLD,Contemporary
Hamza El Din,,Contemporary
Electric Party,,
Franz Eler,DEU,Renaissance
Danny Elfman,USA,Contemporary
Sir Edward Elgar,ENG,Late- / Post-Romantic
Alfonso de Elías,,Modern
Lutz Elias,,
Anders Eliasson,SWE,Contemporary
Elimot,FLM,Renaissance
Haim Elisha,,
José Elizondo,,
Amos Elkana,,
Bechara El Khoury,,Contemporary
Giuseppe Antonio Ellena,,
Ellen Weller,,
Martin Ellerby,,Contemporary
Heino Eller,EST,Modern
Benjamin Ellin,,
Bradley Ellingboe,,
Edward 'Duke' Ellington,USA,Modern
Elliot,,
Kirk Elliot,,
Jonathan Elliott,,
Kirk Elliott,,
Zo Elliott,ENG,Modern
David Ellis,,
Don Ellis,,
Herbert J. Ellis,,
John Ellis,ENG,Contemporary
Michael Ellison,,
Vivian Ellis,,Contemporary
William Ellis,,
James Ellor,,Romantic
Abraham Ellstein,,
Mischa Elman,USA,Romantic
Stéphan Elmas,ARM,
Robert Elmore,,
John Elmsly,,
Roderick Elms,,
Ernesto Elorduy,,
Joseph Eloüis,,
M. Wadih El-Safi,,
Józef Antoni Franciszek Elsner,POL,Classical
Rafa El Tachuela,,
Owen Elton,,
George Elvey,,Romantic
Sir George Job Elvey,,Romantic
Elvis Costello / Brodsky Quartet,,Contemporary
Paul Elwood,,
Emanuel Kegel,,
Jens Laursøn Emborg,DNK,Modern
Emilio Wilhelm Ramsøe,,Late- / Post-Romantic
Emily Howell,,
Maurice Emmanuel,,
Daniel Decatur Emmett,USA,Romantic
Richard Emsley,ENG,Contemporary
Martin Emslie,,
Juan del Encina,ESP,Renaissance
Johannes Enders,,
Jack End,,
Johann Samuel Endler,DEU,Baroque
George Enescu,ROU,Modern
Mark Engebretson,,Contemporary
Willy Engel-Berger,DEU/AUT,Modern
Carl Engel,,
Joel Engel,,
Engel Lund / Ferdinand Rauter,,
Georg Engelmann,,Baroque
Wendelin Engel,,
Yu. Engel,RUS,
Disa English,,Classical
Walter P. English,USA,Late- / Post-Romantic
Einar Englund,,Modern
Uffe Englund,DNK,Contemporary
August Enna,DNK,Late- / Post-Romantic
Ennio Morricone / Andrea Morricone,,Contemporary
Ennio Morricone / Andrea Morricone / Amii Stewart / Leonie Gane,,
J. Ennola,,
Leonard Enns,,
Brian Eno,ENG,Contemporary
Paul Eno,,Modern
Enrique,ESP,Renaissance
Enrique Domingo Cadimaco / Cobian Juan Carlos,,
Manuel Enriquez,,Contemporary
Ensemble Villancico,,
Rolf Enström,,Contemporary
Enya,IRL,Contemporary
Péter Eötvös,HUN,Contemporary
Marti Epstein,,Contemporary
Paul A. Epstein,,Contemporary
Jehan Erart,FRA,Medieval
Christian Erbach,DEU,Baroque
Donald Erb,USA,Modern
Balthasar Erben,,
James Erber,,
James Erb,USA,
Mihaly Erdelyi,,
Eduard Erdmann,DEU,Modern
Günther Erdmann,DEU,Contemporary
Michaela Eremiásová,CZE,Contemporary
Giulio Eremita,,
Nie Erh,,
Daniel Erich,,
Nicolaus Erich,,
Frank Erickson,,
Robert Erickson,,Modern
Eric Maschwitz / George Posford / Herbert Stothart,,
Josef Eriksson,,Modern
Nils Eriksson,,
Ferenc Erkel,HUN,Romantic
Sandor Erkel,,
Ulvi Cemal Erkin,,
Vesa Erkkila,,
Gabriel Erkoreka,,
Camille Erlanger,FRA,
Philipp Heinrich Erlebach,DEU,Baroque
Rolf Peter Erne,CHE,Contemporary
John David Ernest,,
Ernie Erdman / Dan Russo / Ted Fiorito,,Modern
Ernst Bachrich,,
Ernst Bacon / Otto Luening,,Modern
Heinrich Wilhelm Ernst,DEU,Romantic
Johann Ernst,,
Siegrid Ernst,DEU,Contemporary
Iván Eröd,,Contemporary
Peter Erskine,,Contemporary
Thomas Erskine,,Classical
Ralph Erwin,,Romantic
Thierry Escaich,,Contemporary
Francisco Escalada,,
Pablo Escande,,
Wolfram Von Eschenbach,,
Rudolf Escher,,Modern
Johann Carl Eschmann,,
Aylton Escobar,,Contemporary
Maria Luisa Escobar,,
Pedro de Escobar,PRT,Renaissance
Bartholomeo de Escobedo,,Renaissance
Pozzi Escot,,
Harry Escott,,
Joan Escrivà,,
Francisco Escudero,BSQ,Modern
Javier Escudero,ESP,
Ēriks Ešenvalds,LVA,
Andrei Eshpai,RUS,Modern
Morten Eskesen,,
David Esleck,,
Reena Esmail,IND/USA,
César Espéjo,,Modern
Guillo Espel,,
Ignacio Fernandez Esperon,,Modern
Manuel Esperon,,
Paul Espinoza,,
Óscar Esplá,ESP,Modern
Michele Esposito,ITA,Romantic
Patrizio Esposito,,Contemporary
Roberto Esposito,ITA,
Juan de Esquivel Barahona,ESP,Baroque
Jürgen Essl,,Modern
Karlheinz Essl,,
John Estacio,,
Pal Esterhazy,HUN,
Pablo Esteve,,Classical
João Rodrigues Esteves,PRT,Baroque
Antonio Estévez,,Modern
Julio Estrada,,Contemporary
Noel Estrada,,
Shanan Estreicher,USA,
Roshanne Etezady,,
Scott Ethier,,
Alvin Etler,USA,
Eugen Philippi / Oskar Klein,,
Philipp zu Eulenburg,,
James Reese Europe,,Modern
José Evangelista,ESP/CAN,Contemporary
Franco Evangelisti,,Modern
Andy Evans,,
Bill Evans,USA,Contemporary
Keith McKay Evans,,
Michael J. Evans,,Contemporary
Ralph Evans,,
Jury Everhartz,AUT,
Robert Evett,,Modern
A. Evgeniev,RUS,
Yury Evgrafov,RUS,
Helge Evju,,
Victor Ewald [Evald],RUS,Late- / Post-Romantic
Douglas Ewart,USA,
Eric Ewazen,USA,Contemporary
Montague Ewing,,Modern
André-Joseph Exaudet,FRA,Classical
Homero Expósito,,
Joseph Leopold Eybler,AUT,Romantic
Jacob van Eyck,NLD,Baroque
Leo Eylar,,
Eberhard Eyser,,Modern
Edmund Eysler,,Modern
Elisenda Fábregas,,
Bent Fabricius-Bjerre,,
Jacob Fabricius,,Baroque
Stefano Fabri,,Baroque
Thomas Fabri,FRA,Medieval
Maurizio Fabrizio,,
Sándor Fábry,,
Guido Facchin,,Modern
Giacomo Facco,ITA,Baroque
Gideon Fagan,,
Sebastian Fagerlund,,
Markus Fagerudd,,
Michelangelo Faggioli,ITA,Baroque
Francesco Nicola Fago,ITA,
Orjan Fahlstrom,,
Michael Fahres,,
Hans Fährmann,DEU,Modern
Raymond E. Fahrner,,
Gaucelm Faidit,FRA,Medieval
Maurice Faillenot,,
Sammy Fain (Feinberg),USA,Modern
Phil Faini,,
Blair Fairchild,,Modern
Margaret Fairlie-Kennedy,,Contemporary
Mohammed Fairouz,,
Percy Faith,USA,Modern
Richard Faith,,Contemporary
María Fajardo,,
Giovanni Falasca,,
Adam Falckenhagen,,Baroque
Andrea Falconieri,ITA,Baroque
Andrea Falconiero,,
Yury Alexandrovich Falik,,Modern
Adam Falkenhagen,,
Manuel de Falla,ESP,Impressionist
Gabriel Fallamero,,
Leo Fall,,
Richard Faltin,,
Eduardo Falu,,Contemporary
Juan Falu,ARG,
Rodolfo Falvo,,Romantic
Dimitris Fampas,,
Giuseppe Fanciulli,,
Arthur Fane,,Modern
Ernest Fanelli,FRA,Late- / Post-Romantic
Violet Fane,,
Guido Alberto Fano,ITA,
David Fanshawe,ENG,Contemporary
Girolamo Fantini,ITA,Baroque
Rabbi Mushe Fao,,
Béla Faragó,,Contemporary
Harold Farberman,USA,Modern
Lukasz Farcinkiewicz,,
Matteo Fargion,,
Alexandre de Faria,,
Frank Farian,DEU,
Carlo Farina,ITA/DEU,Baroque
Carlos Fariñas,CUB,
Harry Farjeon,,
Johan Farjot,,
Ferenc Farkas,HUN,Modern
Gyula Farkas,HUN,Modern
Sándor Farkas,,
John Farmer,ENG,Baroque
Giles Farnaby,ENG,Baroque
Lynnwood Farnam,,
Laura Farnell,,
Lars Farnlof,,
Robert Farnon,CAN/ENG,Contemporary
David Farquhar,NZL,
Richard Farrant,ENG,Renaissance
Ernest Bristow Farrar,,Modern
Orion R. Farrar,,Romantic
Bernadette Farrell,,
Dennis Farrell,,
Eibhlis Farrell,,
Louise Farrenc,FRA,Romantic
Osvaldo Farrés,CUB,
Gareth Farr,,Contemporary
Iain Farrington,,
Suzanne Farrin,,
Ray Farr,,Contemporary
Alessandro Farruggio,,
Arthur Farwell,,Modern
Carl Friedrich Christian Fasch,,
Johann Friedrich Fasch,DEU,Baroque
Johann Michael Fasch,DEU,
Giovanni Battista Fasolo,,Baroque
M. Fateev,,
Fatejev,,
Gabriele Fattorini,,Baroque
Guillaume Faugues,,
William Faulkes,,
Gabriel Fauré,FRA,Late- / Post-Romantic
Jean-Baptiste Fauré,FRA,Romantic
José Faus,,
Carl Faust,,
Federico Favali,,
Alberto Favero,,
Riccardo Favero,ITA,
Roger Fayeulle,FRA,
Robert Fayrfax,ENG,Renaissance
John Sylvester Fearis,,Late- / Post-Romantic
Tom G. Febonio,,
Jeff Feddersen,,
Ivan Fedele,ITA,Contemporary
Baldassare Federici,,
Leopoldo Federico,,Contemporary
Federico Longas / Ed Rose,,
Jason Federmeyer,,
Philip Feeney,,Contemporary
Wilhelm Fehres,,
Joel Feigin,,
Dror Feiler,ISR,Contemporary
Samuel Feinberg,RUS,Modern
Samuil Feinberg,,
Mary Feinsinger,,Modern
István Fekete,,
Richard Felciano,USA,Modern
David Felder,,Contemporary
Jindrich Feld,CZE,Modern
Al Feldman,,
Barbara Monk Feldman,,Modern
Charles Feldman,,
Morton Feldman,USA,Modern
Sinowi Feldman,,
Yakov Feldman,,
Johann Georg Feldmayr,,
Frank Felice,,Contemporary
José Feliciano,,Contemporary
Charles-Henry Felix,,
Porto Feliziano,,
Jean La Felle,,
Daniel Felsenfeld,,Modern
Drew Fennell,,
Joseph Fennimore,,Contemporary
John Fenstermaker,,Contemporary
George Fenton,,Contemporary
Fenyes / Bekeffi / Dezso,,
Mihaly Fenyes,,
Szabolcs Fényes,,
Feodor III of Russia,,
Nikolay Feodoroff,,
Archimandrite Feofan,,
Ferdinand Joseph Lemott ("Jelly Roll") Morton,,
Kaiser III Ferdinand,,
Ferenc Santa, Jr.,HUN,
Jean-Pierre Ferey,FRA,Modern
Barry Ferguson,,Contemporary
Howard Ferguson,IRL,Modern
William H. Ferguson,,Modern
Frank Ferko,,Contemporary
Giuseppe Ferlendis,ITA,Classical
Erik Ferling,,Classical
Jan Ferm,,
Armando José Fernandes,,Modern
Gaspar Fernandes,,
Maria Helena Rosas Fernandes,,
Diego Fernández,,
Florencio Fernandez,,
Gaspar Fernandez,MEX,Baroque
Heráclio Fernandez,,
Francisco Fernández Palero,,Renaissance
Fernando Pessoa / Luis Tinoco,,
Brian Ferneyhough,ENG,Contemporary
Alan Fernie,,
John Fernström,,Modern
Alfonso (i) Ferrabosco,ITA/ENG,Renaissance
Alfonso (ii) Ferrabosco,ENG,Baroque
Domenico Ferrabosco,,Renaissance
Antonio Ferradini,ITA,Baroque
Mario Ferradini,,Romantic
Giovanni Battista Ferrandini,ITA,Classical
Russell Ferrante,,
Marco Aureliano de Ferranti,,Romantic
Franco Ferrara,,
Benedetto Ferrari,ITA,Baroque
Carlo Ferrari,ITA,Classical
Giacomo Gotifredo Ferrari,ITA,
Giorgio  Ferrari,,
Luc Ferrari,FRA,Contemporary
Adalgiso Ferraris,,
Giuseppe Ferrata,,
José Luis Ferreira,,
Leo Ferre,,Contemporary
José Ferrer,ESP,Romantic
Lorenzo Ferrero,,Contemporary
Pepe Ferrer,,
Giovanni Ferretti,ITA,Renaissance
Beatriz Ferreyra,,Contemporary
Giovan Battista Ferrini,,Baroque
William Ferris,USA,Contemporary
John Ferritto,,Modern
Marco Antonio Ferro,,
Nicola Ferro,,Contemporary
Pierre Octave Ferroud,,Modern
Vincenzo Ferro,,
Eduard Fertelmeister,,
Friedrich Ernst Fesca,DEU,Romantic
Willem de Fesch,HOL,Baroque
Costanzo Festa,ITA,Renaissance
Richard Festinger,,
David Fetherolf,,Contemporary
John Fethy,,
François-Joseph Fétis,BEL,Romantic
Paul Fetler,,
Oscar Fetrás,,Modern
Tom Fettke,,Contemporary
Jochen Feucht,,
Raoul-Auger Feuillet,FRA,Baroque
Antoine de Fevin,FRA,Renaissance
Henry Février,,Modern
Pierre Février,FRA,Baroque
George Fiala,,Contemporary
Josef Fiala,CZE,Classical
Petr Fiala,,
Zdeněk Fibich,CZE,Romantic
Marcos Ficarelli,,
Davide Ficco,,
Edward Ficklin,,
Peter Johann Fick,,
Michael Fiday,,
Thomas Fielding,,
John Field,IRL,Romantic
Ken Field,,
Matthew H. Fields,USA,Contemporary
Scott Fields,,
Nelu Fieraru,ROU,Contemporary
Andrea Figallo,,
Luis Carlos Figueroa,,
Adriana Figueroa Mañas,ARG,
Juraj Filas,,Modern
Juan De Dios Filiberto,ARG,Modern
Rui Filipe,,
Henry Fillmore,USA,Modern
Jeremy Filsell,ENG,Modern
Carl Filtsch,,
Edwin Finckel,USA,Modern
Heinrich Finck,DEU,Renaissance
Herman Finck,,Modern
Theodor Albin Findeisen,,Modern
Mark Findon,,
Joshua Fineberg,,
Irving Fine,USA,Modern
Michael Fine,USA,
Giacomo Finetti,ITA,Renaissance
Vivian Fine,USA,
Gottfried Finger,MOR/ENG,Baroque
Cathy Fink,USA,
Christian Fink,DEU,
Meir Finkelstein,,
Herman Finkers,NLD,
Michael Fink,USA,Romantic
Michael Jon Fink,,Contemporary
David Finko,,
Joseph Finlay,,
Brian Finley,,Contemporary
Ross Lee Finney,USA,Modern
Finn Høffding,,Modern
Michael Peter Finnissy,ENG,Contemporary
Andreas Finold,,
Gerald Raphael Finzi,ENG,Modern
Graciane Finzi,FRA,Contemporary
Joseph-Hector Fiocco,BEL/ITA,Baroque
F. Iommi / W. Ward / T. Butler / J. Osbourne,,
Valentino Fioravanti,,Classical
Andrea Stefano Fiore,,
Nicolo Fiorenza,ITA,
Federigo Fiorillo,ITA,Classical
Karl Fiorini,,
Ted Fio Rito,USA,
Giovanni Andrea Fioroni,ITA,
Laurel Firant,,
Bartolo da Firenze,,
Donato da Firenze,,
Lorenzo da Firenze,,
Idabelle Firestone,,Modern
Roberto Firpo,ARG,
Clare Fischer,USA,
Ernst Fischer,,Modern
Jan Frank Fischer,,
Johann Fischer,,
Johann Carl Christian Fischer,DEU,
Johann Caspar Ferdinand Fischer,BOH,Baroque
Johann Christian Fischer,DEU,Classical
Marvin Fischer,,
Sándor Fischer,,Romantic
Peter-Wolfgang Fischer-Waldstein,,Late- / Post-Romantic
Lubos Fiser,,
Helen Fisher,,
John Abraham Fisher,,Classical
William Arms Fisher,,
Alfred Fissinger,,
Edwin Fissinger,,Modern
Fabrice Fitch,,Contemporary
Keith Fitch,,
Grzegorz Fitelberg,POL,Romantic
Graham Fitkin,ENG,Contemporary
Charles Fitts,,
Gordon Fitzell,,
Wilhelm Fitzenhagen,DEU,Romantic
Mike Fitzpatrick,,
Nicolas Flagello,USA,Modern
Tom Flaherty,,Contemporary
William Flanagan,,Modern
Mateo Flecha,ESP,Renaissance
Randall Craig Fleischer,,
Tsippi Fleischer,,Contemporary
Aloys Fleischmann,,
Robert Fleming,CAN,
Carl Flesch,,Baroque
Percy Fletcher,,Modern
William Fletcher,,
Abel Fleury,,
André Fleury,,Modern
Lorain Fleury,,
Bernhard Flies,AUT,
B. Fliess,,
Angela Floccari,,
Karl Flodin,,
Celedonio Flores,,
Julio Flores,,
Pietro Floridia,,
Caryl Florio,ENG/USA,
Giovanni Florio,,
Neil Flory,,Contemporary
Friedrich von Flotow,DEU,Romantic
R. D'Aubat St. Flour,,
Jonathan Flowers,,
Carlisle Floyd,USA,Contemporary
Derek Floyd,,
Richard Flury,CHE,Modern
Urs Joseph Flury,,
Alexander Flyarkovskiy,,
Maria Lithell Flyg,,
Dave Flynn,,
George Flynn,,Contemporary
Howard Flynn,,
Hugh B. Flynn,,Contemporary
Dirk Fock,,
Josef Bohuslav Foerster,,Modern
Francesco Foggia,,
Giacomo Fogliano,ITA,Renaissance
Jacopo Fogliano,,
Ludovico Fogliano,,
Robert Fokkens,,Contemporary
Andor Foldes,,
Joseph D. Foley,,
Cynthia Folio,,
Folke Rabe / Jan Bark,,
Boris Fomin,RUS,
Joe Fonda,,
Renaud Garcia Fond,,
Manuel da Fonseca,,
Fabrizio Fontana,,
Giovanni Battista Fontana,ITA,Baroque
Alfonso Fontanelli,,
Simone Fontanelli,,
David Fontanesi,,
Nicolò Fontei,ITA,Baroque
H. de Fontenailles,,
Jacqueline Fontyn,,
Arthur Foote,USA,Romantic
William H. Foote,,
Erik Förare,SWE,Contemporary
John Forbes,,
Mike Forbes,USA,Contemporary
Sebastian Forbes,,Modern
Andrew Ford,AUS,Contemporary
Clifford Ford,,Modern
Jean Belmont Ford,,
Joe Ford,USA,
Ralph Ford,USA,
Thomas Ford,ENG,Baroque
Forest,ENG,Medieval
Dan Forest,,
Mathurin Forestier,,
Adam Forkelid,,
Steve Forman,,Romantic
Antoine Forqueray,FRA,Baroque
Jean-Baptiste Forqueray,FRA,Baroque
Dan Forrest,,
George Forrest,USA,Modern
Jonas Forsell,,Contemporary
Kristina Forsman,,Contemporary
Jonas Forssell,,
Stefan Forssen,,
Christoph Förster,DEU,Baroque
Emanuel Aloys Förster,AUT,
Georg Forster,,
Kaspar Förster,,
Malcolm Forsyth,,Contemporary
Daniel Fortea,,
Aldo Forte,,Contemporary
Aldo Rafael Forte,,Contemporary
